record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,redONE,Afghanistan,South Asia,prepaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
2,redONE,Afghanistan,South Asia,postpaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
3,redONE,Alaska,North America,prepaid,0.43,0.43,0.5,video_call=0.44/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
4,redONE,Alaska,North America,postpaid,0.43,0.43,0.5,video_call=0.44/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
5,redONE,Albania,Europe,prepaid,2.17,2.17,0.5,video_call=2.42/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
6,redONE,Albania,Europe,postpaid,2.17,2.17,0.5,video_call=2.42/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
7,redONE,Algeria,Africa,prepaid,2.17,2.17,0.5,video_call=3.62/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
8,redONE,Algeria,Africa,postpaid,2.17,2.17,0.5,video_call=3.62/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
9,redONE,Andorra,Europe,prepaid,2.17,2.17,0.5,video_call=0.17/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
10,redONE,Andorra,Europe,postpaid,2.17,2.17,0.5,video_call=0.17/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
11,redONE,Angola,Africa,prepaid,2.17,2.17,0.5,video_call=1.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
12,redONE,Angola,Africa,postpaid,2.17,2.17,0.5,video_call=1.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
13,redONE,Anguilla,Caribbean,prepaid,2.17,2.17,0.5,video_call=2.78/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
14,redONE,Anguilla,Caribbean,postpaid,2.17,2.17,0.5,video_call=2.78/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
15,redONE,Antigua & Barbuda,Caribbean,prepaid,2.17,2.17,0.5,video_call=2.78/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
16,redONE,Antigua & Barbuda,Caribbean,postpaid,2.17,2.17,0.5,video_call=2.78/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
17,redONE,Argentina,South America,prepaid,0.94,0.94,0.5,video_call=0.9/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
18,redONE,Argentina,South America,postpaid,0.94,0.94,0.5,video_call=0.9/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
19,redONE,Armenia,Caucasus,prepaid,2.17,2.17,0.5,video_call=1.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
20,redONE,Armenia,Caucasus,postpaid,2.17,2.17,0.5,video_call=1.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
21,redONE,Aruba,Caribbean,prepaid,2.17,2.17,0.5,video_call=1.17/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
22,redONE,Aruba,Caribbean,postpaid,2.17,2.17,0.5,video_call=1.17/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
23,redONE,Ascension Island,Other,prepaid,3.58,3.58,0.5,video_call=7.88/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
24,redONE,Ascension Island,Other,postpaid,3.58,3.58,0.5,video_call=7.88/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
25,redONE,Australia,Oceania,prepaid,0.79,0.12,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
26,redONE,Australia,Oceania,postpaid,0.79,0.12,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
27,redONE,Australia - Christmas Island,Oceania,prepaid,10.35,10.35,0.5,video_call=2.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
28,redONE,Australia - Christmas Island,Oceania,postpaid,10.35,10.35,0.5,video_call=2.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
29,redONE,Australia - Cocos Island,Oceania,prepaid,10.35,10.35,0.5,video_call=2.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
30,redONE,Australia - Cocos Island,Oceania,postpaid,10.35,10.35,0.5,video_call=2.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
31,redONE,Austria,Europe,prepaid,0.16,2.28,0.5,video_call=1.66/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
32,redONE,Austria,Europe,postpaid,0.16,2.28,0.5,video_call=1.66/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
33,redONE,Azerbaijan,Caucasus,prepaid,1.86,1.34,0.5,video_call=1.86/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
34,redONE,Azerbaijan,Caucasus,postpaid,1.86,1.34,0.5,video_call=1.86/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
35,redONE,Bahamas,Caribbean,prepaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
36,redONE,Bahamas,Caribbean,postpaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
37,redONE,Bahrain,Middle East,prepaid,1.22,1.22,0.5,video_call=0.87/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
38,redONE,Bahrain,Middle East,postpaid,1.22,1.22,0.5,video_call=0.87/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
39,redONE,Bangladesh,South Asia,prepaid,0.7,0.7,0.5,video_call=0.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
40,redONE,Bangladesh,South Asia,postpaid,0.7,0.7,0.5,video_call=0.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
41,redONE,Barbados,Caribbean,prepaid,2.17,2.17,0.5,video_call=2.39/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
42,redONE,Barbados,Caribbean,postpaid,2.17,2.17,0.5,video_call=2.39/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
43,redONE,Belarus,Europe,prepaid,2.17,2.17,0.5,video_call=2.6/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
44,redONE,Belarus,Europe,postpaid,2.17,2.17,0.5,video_call=2.6/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
45,redONE,Belgium,Europe,prepaid,4.76,1.12,0.5,video_call=17.28/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
46,redONE,Belgium,Europe,postpaid,4.76,1.12,0.5,video_call=17.28/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
47,redONE,Belize,Central America,prepaid,2.17,2.17,0.5,video_call=3.08/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
48,redONE,Belize,Central America,postpaid,2.17,2.17,0.5,video_call=3.08/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
49,redONE,Benin,Africa,prepaid,2.17,2.17,0.5,video_call=0.29/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
50,redONE,Benin,Africa,postpaid,2.17,2.17,0.5,video_call=0.29/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
51,redONE,Bermuda,Caribbean,prepaid,2.17,2.17,0.5,video_call=0.47/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
52,redONE,Bermuda,Caribbean,postpaid,2.17,2.17,0.5,video_call=0.47/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
53,redONE,Bhutan,South Asia,prepaid,2.17,2.17,0.5,video_call=0.47/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
54,redONE,Bhutan,South Asia,postpaid,2.17,2.17,0.5,video_call=0.47/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
55,redONE,Bolivia,South America,prepaid,2.17,2.17,0.5,video_call=1.26/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
56,redONE,Bolivia,South America,postpaid,2.17,2.17,0.5,video_call=1.26/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
57,redONE,Bosnia Herzegovina,Europe,prepaid,2.17,2.17,0.5,video_call=4.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
58,redONE,Bosnia Herzegovina,Europe,postpaid,2.17,2.17,0.5,video_call=4.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
59,redONE,Bostwana,Other,prepaid,2.17,2.17,0.5,video_call=1.62/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
60,redONE,Bostwana,Other,postpaid,2.17,2.17,0.5,video_call=1.62/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
61,redONE,Brazil,South America,prepaid,2.17,2.17,0.5,video_call=0.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
62,redONE,Brazil,South America,postpaid,2.17,2.17,0.5,video_call=0.02/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
63,redONE,Brunei,Southeast Asia,prepaid,0.25,0.29,0.5,video_call=0.25/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
64,redONE,Brunei,Southeast Asia,postpaid,0.25,0.29,0.5,video_call=0.25/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
65,redONE,Bulgaria,Europe,prepaid,2.17,2.17,0.5,video_call=1.24/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
66,redONE,Bulgaria,Europe,postpaid,2.17,2.17,0.5,video_call=1.24/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
67,redONE,Burkina Faso,Africa,prepaid,2.17,2.17,0.5,video_call=1.56/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
68,redONE,Burkina Faso,Africa,postpaid,2.17,2.17,0.5,video_call=1.56/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
69,redONE,Burundi Kingdom,Africa,prepaid,2.17,2.17,0.5,video_call=6.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
70,redONE,Burundi Kingdom,Africa,postpaid,2.17,2.17,0.5,video_call=6.82/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
71,redONE,Cambodia,Southeast Asia,prepaid,0.45,0.38,0.5,video_call=0.45/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
72,redONE,Cambodia,Southeast Asia,postpaid,0.45,0.38,0.5,video_call=0.45/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
73,redONE,Cameroon,Africa,prepaid,2.17,2.17,0.5,video_call=2.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
74,redONE,Cameroon,Africa,postpaid,2.17,2.17,0.5,video_call=2.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
75,redONE,Canada,North America,prepaid,2.17,2.17,0.5,video_call=0.41/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
76,redONE,Canada,North America,postpaid,2.17,2.17,0.5,video_call=0.41/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
77,redONE,Cape Verde Islands,Africa,prepaid,2.17,2.17,0.5,video_call=1.8/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
78,redONE,Cape Verde Islands,Africa,postpaid,2.17,2.17,0.5,video_call=1.8/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
79,redONE,Cayman Islands,Caribbean,prepaid,2.17,2.17,0.5,video_call=2.06/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
80,redONE,Cayman Islands,Caribbean,postpaid,2.17,2.17,0.5,video_call=2.06/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
81,redONE,Central African Republic,Africa,prepaid,3.79,3.79,0.5,video_call=3.99/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
82,redONE,Central African Republic,Africa,postpaid,3.79,3.79,0.5,video_call=3.99/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
83,redONE,Chad,Africa,prepaid,2.17,2.17,0.5,video_call=2.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
84,redONE,Chad,Africa,postpaid,2.17,2.17,0.5,video_call=2.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
85,redONE,Chile,South America,prepaid,2.17,2.17,0.5,video_call=0.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
86,redONE,Chile,South America,postpaid,2.17,2.17,0.5,video_call=0.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
87,redONE,China,East Asia,prepaid,0.2,0.2,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
88,redONE,China,East Asia,postpaid,0.2,0.2,0.5,video_call=0.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
89,redONE,Colombia,South America,prepaid,2.17,2.17,0.5,video_call=0.04/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
90,redONE,Colombia,South America,postpaid,2.17,2.17,0.5,video_call=0.04/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
91,redONE,Comoros,Africa,prepaid,2.17,2.17,0.5,video_call=3.13/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
92,redONE,Comoros,Africa,postpaid,2.17,2.17,0.5,video_call=3.13/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
93,redONE,Cook Islands,Oceania,prepaid,3.79,3.79,0.5,video_call=12.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
94,redONE,Cook Islands,Oceania,postpaid,3.79,3.79,0.5,video_call=12.7/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
95,redONE,Costa Rica,Central America,prepaid,2.17,2.17,0.5,video_call=0.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
96,redONE,Costa Rica,Central America,postpaid,2.17,2.17,0.5,video_call=0.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
97,redONE,Croatia,Europe,prepaid,2.17,2.17,0.5,video_call=5.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
98,redONE,Croatia,Europe,postpaid,2.17,2.17,0.5,video_call=5.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
99,redONE,Cuba,Caribbean,prepaid,3.79,3.79,0.5,video_call=4.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
100,redONE,Cuba,Caribbean,postpaid,3.79,3.79,0.5,video_call=4.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
101,redONE,Cyprus,Middle East,prepaid,2.17,2.17,0.5,video_call=0.48/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
102,redONE,Cyprus,Middle East,postpaid,2.17,2.17,0.5,video_call=0.48/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
103,redONE,Czech Republic,Europe,prepaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
104,redONE,Czech Republic,Europe,postpaid,2.17,2.17,0.5,video_call=0.4/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
105,redONE,Dem. Rep. of Congo,Africa,prepaid,2.17,2.17,0.5,video_call=5.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
106,redONE,Dem. Rep. of Congo,Africa,postpaid,2.17,2.17,0.5,video_call=5.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
107,redONE,Dem. Rep. of Congo (Zaire),Africa,prepaid,2.17,2.17,0.5,video_call=2.84/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
108,redONE,Dem. Rep. of Congo (Zaire),Africa,postpaid,2.17,2.17,0.5,video_call=2.84/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
109,redONE,Denmark,Europe,prepaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
110,redONE,Denmark,Europe,postpaid,2.17,2.17,0.5,video_call=1.61/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
111,redONE,Diego Garcia,Other,prepaid,2.17,2.17,0.5,video_call=9.16/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
112,redONE,Diego Garcia,Other,postpaid,2.17,2.17,0.5,video_call=9.16/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
113,redONE,Djibouti,Africa,prepaid,2.17,2.17,0.5,video_call=4.11/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
114,redONE,Djibouti,Africa,postpaid,2.17,2.17,0.5,video_call=4.11/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
115,redONE,Dominica,Caribbean,prepaid,2.91,2.74,0.5,video_call=2.91/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
116,redONE,Dominica,Caribbean,postpaid,2.91,2.74,0.5,video_call=2.91/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
117,redONE,Dominican Republic,Caribbean,prepaid,2.17,2.17,0.5,video_call=1.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
118,redONE,Dominican Republic,Caribbean,postpaid,2.17,2.17,0.5,video_call=1.2/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
119,redONE,Ecuador,South America,prepaid,2.17,2.17,0.5,video_call=0.96/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
120,redONE,Ecuador,South America,postpaid,2.17,2.17,0.5,video_call=0.96/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
121,redONE,Egypt,Africa,prepaid,2.17,2.17,0.5,video_call=0.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
122,redONE,Egypt,Africa,postpaid,2.17,2.17,0.5,video_call=0.75/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
